Entity,Field,Front,Front suggestions?,Back & Db,Back & Db suggestions?
Account,id,,,"id (not null, unique)",
,username,,,"not blank, unique, min 4, max 20",
,email,,,"not blank, unique, email",
,password,,,not blank,
,createdAt,,,,
,avatarUrl,,,,
,ownedPlanets,,,,
Building,id,,,"id (not null, unique)",
,name,,,"not blank, unique",
,description,,,not blank,
,level,,,positive,
,costMetal,,,positive or zero,
,costCristal,,,positive or zero,
,costDeuterium,,,positive or zero,
,costEnergy,,,positive or zero,
,planets,,,,
ConstructionQueue,id,,,"id (not null, unique)",
,idToBuild,,,,add not null?
,constructionType,,,,add not null?
,constructionEndTime,,,,add not null?
,planet,,,,
Defense,id,,,"id (not null, unique)",
,name,,,"not blank, unique",
,hitpoint,,,positive or zero,
,attackPower,,,positive or zero,
,costMetal,,,positive or zero,
,costCristal,,,positive or zero,
,costDeuterium,,,positive or zero,
,costEnergy,,,positive or zero,
,planetDefenses,,,,
Fleet,id,,,"id (not null, unique)",
,name,,,not blank,"add min 4, max 20?"
,destinationX,,,,
,destinationY,,,,
,arrivalTime,,,,
,fleetShips,,,,
FleetShip,id,,,"id (not null, unique)",
,fleet,,,,
,ship,,,,
,quantity,,,positive or zero,
Planet,id,,,"id (not null, unique)",
,coordinateX,,,,
,coordinateY,,,,
,name,,,"not blank, max 20",add min 2/4?
,owner,,,,
,constructionQueues,,,,
,buildings,,,,
,planetDefenses,,,,
PlanetDefense,id,,,"id (not null, unique)",
,quantity,,,positive or zero,
,planet,,,,
,defense,,,,
ProductionBuilding,int,,,positive or zero,
,resourceType,,,not null,
Ship,id,,,"id (not null, unique)",
,name,,,not blank,add unique?
,hitpoint,,,positive or zero,
,attackPower,,,positive or zero,
,speed,,,positive or zero,
,costMetal,,,positive or zero,
,costCristal,,,positive or zero,
,costDeuterium,,,positive or zero,
,fleetShips,,,,
StorageBuilding,capacity,,,positive,
,resourceType,,,not null,
